date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:09:24	60305/60305	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/index-2.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/index-2.html	(from )
15:09:24	122/122	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2004%20Feb%202026%2009:39:27%20GMT	https://templates.hibootstrap.com/robots.txt		(from )
15:09:24	232756/232756	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-38d34%22	https://templates.hibootstrap.com/jeel/default/assets/css/bootstrap.min.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/bootstrap.min.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:25	5335/5335	---MCZ	200	added ('OK')	text/css	etag:W/%22663b5bb4-14d7%22	https://templates.hibootstrap.com/jeel/default/assets/css/meanmenu.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/meanmenu.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:25	68028/68028	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-109bc%22	https://templates.hibootstrap.com/jeel/default/assets/css/boxicons.min.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/boxicons.min.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:25	71750/71750	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-11846%22	https://templates.hibootstrap.com/jeel/default/assets/css/animate.min.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/animate.min.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:25	3351/3351	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-d17%22	https://templates.hibootstrap.com/jeel/default/assets/css/owl.carousel.min.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/owl.carousel.min.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:25	1013/1013	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-3f5%22	https://templates.hibootstrap.com/jeel/default/assets/css/owl.theme.default.min.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/owl.theme.default.min.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:25	2069/2069	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-815%22	https://templates.hibootstrap.com/jeel/default/assets/css/modal-video.min.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/modal-video.min.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:26	3116/3116	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-c2c%22	https://templates.hibootstrap.com/jeel/default/assets/css/odometer.min.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/odometer.min.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:26	29952/29952	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-7500%22	https://templates.hibootstrap.com/jeel/default/assets/css/settings.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/settings.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:26	71946/71946	---MCZ	200	added ('OK')	text/css	etag:W/%22663b5b77-1190a%22	https://templates.hibootstrap.com/jeel/default/assets/css/layers.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/layers.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:26	34837/34837	---MCZ	200	added ('OK')	text/css	etag:W/%22663b5bd9-8815%22	https://templates.hibootstrap.com/jeel/default/assets/css/navigation.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/navigation.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:27	3070/3070	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-bfe%22	https://templates.hibootstrap.com/jeel/default/assets/css/nice-select.min.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/nice-select.min.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:27	99065/99065	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-182f9%22	https://templates.hibootstrap.com/jeel/default/assets/css/style.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/style.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:27	22896/22896	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-5970%22	https://templates.hibootstrap.com/jeel/default/assets/css/responsive.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/responsive.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:27	6053/6053	---MCZ	200	added ('OK')	text/css	etag:W/%22663b57e8-17a5%22	https://templates.hibootstrap.com/jeel/default/assets/css/theme-dark.css	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/css/theme-dark.css	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:27	418/418	---M--	200	added ('OK')	image/png	etag:%22663b57e8-2cf%22	https://templates.hibootstrap.com/jeel/default/assets/images/favicon.png	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/favicon.png	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:28	54726/54726	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/index.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/index.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:28	886/886	---M--	200	added ('OK')	image/png	etag:%22663b57e8-734%22	https://templates.hibootstrap.com/jeel/default/assets/images/logo.png	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/assets/images/logo.png	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:28	65258/65258	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/index-3.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/index-3.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:29	59863/59863	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/index-4.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/index-4.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:29	26436/26436	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/sign-in.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/sign-in.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:30	26786/26786	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/sign-up.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/sign-up.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:30	51883/51883	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/team.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/team.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:30	28810/28810	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/appointment.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/appointment.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:31	31295/31295	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/gift-card.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/gift-card.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:31	32243/32243	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/pricing.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/pricing.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:31	28874/28874	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/faq.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/faq.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:32	4647/4647	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/404.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/404.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:32	33843/33843	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/privacy-policy.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/privacy-policy.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:32	33859/33859	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/terms-conditions.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/terms-conditions.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:33	52539/52539	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/about.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/about.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:33	36896/36896	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/services.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/services.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:34	30156/30156	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/service-details.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/service-details.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:34	33557/33557	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/blog.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/blog.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:34	42875/42875	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/blog-details.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/blog-details.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:35	38956/38956	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/shop.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/shop.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
15:09:35	29811/29811	---MCZ	200	added ('OK')	text/html	date:Wed,%2008%20May%202024%2010:55:58%20GMT	https://templates.hibootstrap.com/jeel/default/cart.html	C:/Users/INDRUZ/Downloads/skin/templates.hibootstrap.com/jeel/default/cart.html	(from https://templates.hibootstrap.com/jeel/default/index-2.html)
